========== 性能指标评价 ==========,,,,,,,,
,,,,,,,,
,Fx,Fy,Fz,Mx,My,Mz,,
重复性R（%FS）,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,
迟滞性H（%FS）,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,
线性度L（%FS）,6.80018300,11.46112200,0.05312100,1.45215400,1.56129900,0.64794400,,
I类误差,0.00745608,,,,,,,
II类误差,0.00944769,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
========== Fx 通道 ==========,,,,,,,,
重复性误差,,,,,,,,
循环类型,Fx设定值,上升沿平均值,上升沿标准差,上升沿数值列表,下降沿平均值,下降沿标准差,下降沿数值列表,|正行程平均值-反行程平均值|
正值循环,0.0,-0.60597553,0.54977881,"[0.00000000, -0.74509754, -1.07282905]",-1.03105937,0.26753381,"[-0.74509754, -1.07282905, -1.27525152]",0.42508384
正值循环,200.0,199.55330254,0.49500601,"[200.12200153, 199.31862240, 199.21928368]",198.92042446,0.24385570,"[199.09187597, 199.02813833, 198.64125909]",0.63287807
正值循环,400.0,399.60846796,0.43423051,"[400.06387052, 399.56246015, 399.19907322]",398.93100998,0.17722661,"[399.01968223, 399.04639922, 398.72694848]",0.67745799
正值循环,600.0,599.57851841,0.34675621,"[599.97384479, 599.43587940, 599.32583105]",598.83021326,0.14186922,"[598.99269506, 598.76704506, 598.73089965]",0.74830516
正值循环,800.0,799.19104105,0.27056011,"[799.47641238, 799.15846976, 798.93824100]",798.87814476,0.14806032,"[799.03152934, 798.86684925, 798.73605570]",0.31289628
正值循环,1000.0,998.58697671,0.24162373,"[998.84282589, 998.55542600, 998.36267823]",998.58697671,0.24162373,"[998.84282589, 998.55542600, 998.36267823]",0.00000000
负值循环,-1000.0,-1001.86093924,0.12934547,"[-1001.98580843, -1001.86946952, -1001.72753977]",-1001.86093924,0.12934547,"[-1001.98580843, -1001.86946952, -1001.72753977]",0.00000000
负值循环,-800.0,-801.03017372,0.15484042,"[-801.19493107, -801.00793502, -800.88765507]",-801.63887839,0.16787610,"[-801.82689538, -801.58573054, -801.50400925]",0.60870467
负值循环,-600.0,-599.92119957,0.16594989,"[-600.11275658, -599.82975676, -599.82108536]",-601.19656971,0.33131191,"[-601.51904907, -601.21357950, -600.85708055]",1.27537014
负值循环,-400.0,-399.70149705,0.20373848,"[-399.93356360, -399.55202417, -399.61890338]",-400.75466453,0.32898997,"[-401.09476512, -400.73118535, -400.43804311]",1.05316748
负值循环,-200.0,-199.53020465,0.24135916,"[-199.80863711, -199.40151297, -199.38046386]",-200.23275511,0.34569370,"[-200.60014696, -200.18423151, -199.91388686]",0.70255046
负值循环,0.0,0.39583753,0.38633483,"[0.00000000, 0.41560163, 0.77191096]",0.65770433,0.20977879,"[0.41560163, 0.77191096, 0.78560041]",0.26186680
正循环标准偏差,0.32281941,,,,,,,
负循环标准偏差,0.24894599,,,,,,,
重复性,0.00064564,,,,,,,
Last记录量,0.00000129,,,,,,,
迟滞性,0.00127537,,,,,,,
,,,,,,,,
线性度数据,,,,,,,,
平均电压值,标准压力值,Y=ax+b,标准压力值-最小二乘法,数值列表
1781.36000000,-1000.0,-1058.27614563,58.27614563,"[1778.83000000, 1784.35000000, 1780.90000000]"
358.16466667,-200.0,-181.31690355,-18.68309645,"[344.89400000, 369.95200000, 344.86900000, 370.53900000, 346.96200000, 371.77200000]"
691.86166667,-400.0,-386.93777747,-13.06222253,"[681.39600000, 701.16500000, 681.47500000, 701.22900000, 683.83600000, 702.06900000]"
1036.04666667,-600.0,-599.02125587,-0.97874413,"[1022.27000000, 1048.01000000, 1021.70000000, 1048.92000000, 1024.59000000, 1050.79000000]"
1408.60000000,-800.0,-828.58502775,28.58502775,"[1395.93000000, 1420.70000000, 1395.62000000, 1420.67000000, 1397.21000000, 1421.47000000]"
-2.09379800,0(正),40.67088880,-40.67088880,"[0.00000000, -4.77122000, -0.11392200, -3.49005000]"
4.54091750,0(负),36.58264108,-36.58264108,"[0.00000000, 2.91197000, 5.04780000, 10.20390000]"
-1448.60666667,1000.0,931.99817133,68.00182867,"[-1445.99000000, -1450.05000000, -1449.78000000]"
-314.23533333,200.0,233.00949323,-33.00949323,"[-303.13500000, -322.04000000, -304.88900000, -324.89400000, -303.97700000, -326.47700000]"
-611.68050000,400.0,416.29233699,-16.29233699,"[-595.99900000, -624.29700000, -600.09100000, -625.13200000, -599.16100000, -625.40300000]"
-898.25550000,600.0,592.87708886,7.12291114,"[-881.15500000, -910.95300000, -885.81700000, -912.24900000, -883.97100000, -915.38800000]"
-1178.10666667,800.0,765.31867946,34.68132054,"[-1160.57000000, -1187.95000000, -1167.00000000, -1192.41000000, -1165.49000000, -1195.22000000]"
总计,0.00000000,,,
SUMPRODUCT,-33004961.00000000,,,
MAX(ABS(差值))/1000,68.00182867,,0.06800183,
a,-0.61619036,,,
b,39.38071066,,,
,,,,,,,,
,,,,,,,,
========== Fy 通道 ==========,,,,,,,,
重复性误差,,,,,,,,
循环类型,Fy设定值,上升沿平均值,上升沿标准差,上升沿数值列表,下降沿平均值,下降沿标准差,下降沿数值列表,|正行程平均值-反行程平均值|
正值循环,0.0,-0.01639234,0.08132433,"[0.00000000, 0.05548717, -0.10466419]",0.01011562,0.10012614,"[0.05548717, -0.10466419, 0.07952387]",0.02650796
正值循环,200.0,199.75570120,0.09316415,"[199.68738778, 199.86182677, 199.71788904]",199.20799575,0.04585286,"[199.15891735, 199.21533123, 199.24973867]",0.54770545
正值循环,400.0,399.32996132,0.06373244,"[399.40298181, 399.30137761, 399.28552454]",398.80325975,0.25144445,"[399.06436884, 398.56274684, 398.78266357]",0.52670157
正值循环,600.0,598.65274578,0.05709942,"[598.64347101, 598.60085151, 598.71391481]",598.26913242,0.06477487,"[598.19942934, 598.28049153, 598.32747638]",0.38361336
正值循环,800.0,798.06854988,0.05802192,"[798.00356485, 798.08692674, 798.11515806]",797.64731767,0.07650627,"[797.56213326, 797.66963869, 797.71018107]",0.42123221
